date,05时,06时,07时,08时,09时,10时,11时,12时,13时,14时,15时,16时,17时,18时,19时,20时,21时,22时,23时
2018年2月16日,92,357,116,115,169,320,583,394,192,239,208,292,372,437,235,266,162,112,14
2018年2月17日,50,538,106,159,201,528,832,676,557,432,181,227,429,295,40,63,198,126,19
2018年2月18日,67,356,196,116,244,267,576,430,337,398,365,461,467,552,265,400,180,101,14
2018年2月19日,91,409,191,147,188,383,759,421,241,433,197,320,463,423,271,264,154,104,19
2018年2月20日,98,572,200,193,333,326,731,811,421,626,167,351,614,552,225,328,139,158,28
2018年2月21日,33,460,222,162,232,485,761,314,297,549,259,459,404,382,334,485,141,127,30
2018年2月22日,74,527,253,173,349,453,666,734,425,528,259,371,616,730,309,421,144,162,28
2018年2月23日,98,448,277,181,260,483,816,249,283,513,286,457,395,521,293,397,152,123,49
2018年2月24日,86,518,220,281,342,562,915,862,593,621,248,364,497,563,175,273,207,134,16
2018年2月25日,47,543,245,170,290,365,721,528,336,556,346,604,330,563,406,496,136,118,26
2018年2月26日,76,489,222,173,290,398,779,222,238,481,202,384,366,491,265,346,136,150,35
2018年2月27日,109,437,267,376,331,382,783,705,517,613,234,414,549,627,245,318,187,157,36
2018年2月28日,77,459,265,142,304,402,817,394,308,525,373,349,315,500,463,366,228,168,54
2018年3月1日,52,490,221,324,373,427,691,570,404,537,297,353,508,622,417,329,192,183,45
2018年3月2日,56,385,164,195,283,465,764,398,288,370,324,455,360,534,218,244,155,114,37
2018年3月3日,104,515,291,322,332,534,937,775,544,527,331,387,508,564,182,284,234,110,31
2018年3月4日,78,463,287,187,304,371,716,497,306,439,204,489,394,553,359,576,261,119,2
2018年3月5日,63,533,324,149,297,434,635,375,344,447,239,345,289,415,322,315,189,127,29
2018年3月6日,72,507,359,327,361,369,821,860,516,460,244,422,505,375,134,249,194,86,15
2018年3月7日,122,405,272,140,348,422,669,390,311,472,281,387,273,357,243,370,88,135,49
2018年3月8日,107,490,291,254,370,388,580,627,329,493,165,226,454,560,212,251,124,111,15
2018年3月9日,59,458,255,154,247,449,674,308,258,371,223,376,287,336,208,300,158,137,64
2018年3月10日,69,571,282,353,316,539,854,657,494,388,236,287,349,403,97,207,141,99,36
